dataset148  132  0.6286
dataset149    0  0.0000
dataset150    7  0.0333
dataset151   96  0.4571
dataset152   10  0.0476
dataset153   39  0.1857
dataset154    0  0.0000
dataset155   53  0.2524
dataset156    6  0.0286
dataset157   22  0.1048
dataset158    3  0.0143
dataset159   25  0.1190
dataset160    1  0.0048
dataset161   74  0.3524
dataset162  125  0.5952
dataset163   44  0.2095
dataset164   93  0.4429
dataset166   92  0.4381
dataset167    2  0.0095
dataset169  135  0.6429
dataset170    0  0.0000
dataset171   73  0.3476
dataset172    6  0.0286
dataset173   82  0.3905
dataset174   39  0.1857
dataset175   27  0.1286
dataset176   42  0.2000
dataset177   15  0.0714
dataset178   43  0.2048
dataset179   50  0.2381
dataset180   61  0.2905
dataset181   35  0.1667
dataset182   77  0.3667
dataset183  139  0.6619
dataset184    0  0.0000
dataset185    1  0.0048
dataset186    0  0.0000
dataset187   12  0.0571
dataset188   44  0.2095
dataset189    0  0.0000
dataset190    0  0.0000
dataset191   24  0.1143
dataset192    0  0.0000
dataset193    0  0.0000
dataset194   17  0.0810
dataset195    8  0.0381
dataset196    3  0.0143
dataset197    8  0.0381
dataset198  117  0.5571
dataset199   23  0.1095
dataset200   12  0.0571
dataset201   37  0.1762
dataset202  143  0.6810
dataset203   81  0.3857
dataset204    7  0.0333
dataset205   48  0.2286
dataset206    0  0.0000
dataset207    1  0.0048
dataset209    6  0.0286
dataset210   15  0.0714
dataset211   12  0.0571
dataset212    1  0.0048
dataset213    3  0.0143
dataset214    5  0.0238
dataset215   11  0.0524
dataset216    1  0.0048
dataset217    4  0.0190
dataset218   84  0.4000
dataset219   65  0.3095
dataset220   16  0.0762
dataset221   46  0.2190
dataset222  118  0.5619
dataset223   20  0.0952
dataset224    7  0.0333
dataset225   53  0.2524
dataset226   15  0.0714
dataset227    2  0.0095
dataset228    0  0.0000
dataset229    0  0.0000
dataset230    9  0.0429
dataset231    0  0.0000
dataset232    0  0.0000
dataset233    2  0.0095
dataset234   55  0.2619
dataset235    0  0.0000
dataset236    1  0.0048
dataset237   95  0.4524
dataset238    0  0.0000
dataset239   29  0.1381
dataset240  167  0.7952
dataset241    1  0.0048
dataset242    0  0.0000
dataset243    0  0.0000
dataset244    9  0.0429
dataset245    1  0.0048
dataset246    1  0.0048
dataset247    7  0.0333
dataset248    1  0.0048
dataset249    0  0.0000
dataset250   37  0.1762
dataset251    6  0.0286
dataset252    1  0.0048
dataset253   78  0.3714
dataset254  141  0.6714
dataset255   13  0.0619
dataset256   11  0.0524
dataset257   12  0.0571
dataset258    0  0.0000
dataset259   77  0.3667
dataset260   13  0.0619
dataset261    8  0.0381
dataset262   38  0.1810
dataset263    6  0.0286
dataset264    4  0.0190
dataset265    0  0.0000
dataset266   21  0.1000
dataset267    3  0.0143
dataset268   10  0.0476
dataset269    2  0.0095
dataset270   40  0.1905
dataset271   12  0.0571
dataset272    0  0.0000
dataset273   44  0.2095
dataset274    7  0.0333
dataset275   38  0.1810
dataset276    0  0.0000
dataset277    0  0.0000
dataset278    0  0.0000
dataset279   37  0.1762
dataset280    0  0.0000
dataset281   24  0.1143
dataset282    0  0.0000
dataset283    6  0.0286
dataset284    1  0.0048
dataset285   38  0.1810
dataset286    3  0.0143
dataset287   76  0.3619
dataset288    2  0.0095
dataset289    3  0.0143
dataset290    0  0.0000
dataset291   16  0.0762
dataset292   10  0.0476
dataset293   50  0.2381
dataset294   10  0.0476
dataset295    0  0.0000
dataset296    4  0.0190
dataset297   19  0.0905
dataset298   72  0.3429
dataset299   90  0.4286
dataset300    9  0.0429
dataset301    3  0.0143
dataset302    5  0.0238
dataset303    0  0.0000
dataset304    5  0.0238
dataset305   32  0.1524
dataset306    0  0.0000
dataset307   22  0.1048
dataset308  194  0.9238
dataset309   13  0.0619
dataset310   78  0.3714
dataset311   20  0.0952
dataset312   90  0.4286
dataset313    1  0.0048
dataset314  110  0.5238
dataset315   38  0.1810
dataset316   19  0.0905
dataset317    6  0.0286
dataset318    1  0.0048
dataset320   22  0.1048
dataset321    1  0.0048
dataset322   31  0.1476
dataset323    1  0.0048
dataset324   17  0.0810
dataset325   43  0.2048
dataset326    7  0.0333
dataset327    3  0.0143
dataset328    0  0.0000
dataset329   38  0.1810
dataset330   61  0.2905
dataset331   91  0.4333
dataset332    1  0.0048
dataset333    7  0.0333
dataset334   15  0.0714
dataset335   12  0.0571
dataset336    9  0.0429
dataset337    1  0.0048
dataset338   62  0.2952
dataset339    0  0.0000
dataset340   97  0.4619
dataset341   45  0.2143
dataset342   26  0.1238
dataset343    4  0.0190
